,tenure,Partner,Dependents,gender,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
26,47,1,1,1,1,1,99.35,4749.15,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
27,1,1,1,1,0,0,30.2,30.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
28,72,1,0,1,1,1,90.25,6369.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
29,17,0,1,0,1,1,64.7,1093.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Yes
30,71,1,0,0,1,1,96.35,6766.95,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,No
31,2,1,0,1,1,1,95.5,181.65,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,No
32,27,1,1,0,1,0,66.15,1874.45,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,No
33,1,0,0,1,1,0,20.2,20.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,No
34,1,0,0,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
35,72,1,1,0,1,0,99.9,7251.7,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,No
36,5,0,0,1,1,1,69.7,316.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
37,46,0,0,0,1,1,74.8,3548.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,No
38,34,0,0,1,1,1,106.35,3549.25,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,Yes
39,11,0,0,0,1,1,97.85,1105.4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Yes
40,10,1,1,1,1,0,49.55,475.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,No
41,70,1,1,0,1,1,69.2,4872.35,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,No
42,17,1,1,0,1,0,20.75,418.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
43,63,0,0,0,1,1,79.85,4861.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,No
44,13,1,0,0,1,1,76.2,981.45,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,No
45,49,0,0,0,1,1,84.5,3906.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,No
46,2,0,0,1,1,0,49.25,97.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,No
47,2,0,0,0,1,1,80.65,144.15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
48,52,0,0,1,1,1,79.75,4217.8,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,No
49,69,1,1,0,1,1,64.15,4254.1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,No
50,43,0,0,0,1,1,90.25,3838.75,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No
51,15,0,0,0,1,1,99.1,1426.4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,Yes
52,25,1,0,0,1,1,69.5,1752.65,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,No
53,8,1,0,0,1,1,80.65,633.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Yes
54,60,1,1,0,1,1,74.85,4456.35,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,No
55,18,0,0,1,1,1,95.45,1752.55,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
56,63,1,1,0,1,1,99.65,6311.2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,No
57,66,1,1,1,1,1,108.45,7076.35,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,No
58,34,1,1,0,1,0,24.95,894.3,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
59,72,0,0,0,1,1,107.5,7853.7,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,No
60,47,1,0,0,1,1,100.5,4707.1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,No
61,60,0,0,1,1,1,89.9,5450.7,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,No
62,72,1,0,1,0,0,42.1,2962.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,No
63,18,1,1,0,1,1,54.4,957.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,No
64,9,0,0,0,1,0,94.4,857.25,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
65,3,0,0,0,1,1,75.3,244.1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,No
66,47,1,0,1,1,1,78.9,3650.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,No
67,31,0,0,0,1,0,79.2,2497.2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,No
68,50,1,1,0,1,0,20.15,930.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
69,10,0,0,1,1,1,79.85,887.35,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,No
70,1,0,0,1,1,0,49.05,49.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,No
71,52,1,1,0,1,1,20.4,1090.65,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,No
72,64,1,1,1,1,1,111.6,7099.0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,No
73,62,1,1,1,1,1,24.25,1424.6,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
74,3,0,1,0,1,1,64.5,177.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,No
75,56,0,0,0,1,0,110.5,6139.5,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,No
76,46,0,0,0,1,0,55.65,2688.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,No
77,8,1,1,0,1,0,54.65,482.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,No
78,30,0,0,1,1,1,74.75,2111.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,No
79,45,1,1,0,1,1,25.9,1216.6,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,No
80,1,0,1,0,1,1,79.35,79.35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
81,11,1,1,0,0,0,50.55,565.35,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,No
82,7,1,0,0,1,1,75.15,496.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes
83,42,0,0,0,1,1,103.8,4327.5,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,No
84,49,1,0,0,1,1,20.15,973.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
85,9,0,0,1,1,1,99.3,918.75,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,No
86,35,1,0,0,1,1,62.15,2215.45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,No
87,48,1,1,0,1,0,20.65,1057.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
88,46,1,1,0,1,1,19.95,927.1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
89,29,1,0,1,0,0,33.75,1009.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No
90,30,1,1,1,1,0,82.05,2570.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No
91,1,0,0,1,1,0,74.7,74.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,No
92,66,1,1,1,1,1,84.0,5714.25,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,No
93,65,0,0,0,1,1,111.05,7107.0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,No
94,72,0,0,1,1,1,100.9,7459.05,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,No
95,12,0,0,0,1,1,78.95,927.35,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
96,71,1,1,1,1,1,66.85,4748.7,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,No
97,5,0,0,1,1,0,21.05,113.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,Yes
98,52,0,0,1,1,0,21.0,1107.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
99,25,1,0,0,1,1,98.5,2514.5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,Yes
100,1,0,0,1,1,0,20.2,20.2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
101,1,1,1,0,1,0,19.45,19.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
102,38,0,0,1,1,0,95.0,3605.6,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,No
103,66,1,0,0,0,0,45.55,3027.25,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,No
104,68,1,0,1,1,1,110.0,7611.85,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,Yes
105,5,0,0,1,0,0,24.3,100.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
106,72,1,1,0,1,1,104.15,7303.05,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,No
107,32,0,0,0,0,0,30.15,927.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,No
108,43,0,0,1,1,0,94.35,3921.3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,No
109,72,1,1,1,1,0,19.4,1363.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
110,55,1,0,1,1,1,96.75,5238.9,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Yes
111,52,0,0,0,1,0,57.95,3042.25,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,No
112,43,0,0,0,1,1,91.65,3954.1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,No
113,37,1,0,0,1,1,76.5,2868.15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
114,64,1,1,0,0,1,54.6,3423.5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,No
115,3,1,1,1,1,0,89.85,248.4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No
116,36,0,0,0,0,0,31.05,1126.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No
117,10,1,1,0,1,1,100.25,1064.65,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Yes
118,41,0,0,0,1,0,20.65,835.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
119,27,1,1,1,1,1,85.2,2151.6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,No
120,56,1,1,0,1,1,99.8,5515.45,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,No
121,6,0,0,0,1,0,20.7,112.75,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
122,3,0,0,1,1,1,74.4,229.55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
123,7,1,1,0,1,0,50.7,350.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
124,4,1,1,0,1,0,20.85,62.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
125,33,0,0,1,1,1,88.95,3027.65,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,No
126,27,0,0,0,1,1,78.05,2135.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Yes
127,72,1,0,1,1,1,23.55,1723.95,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
128,1,0,0,1,1,0,19.75,19.75,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
129,71,0,0,1,0,1,56.45,3985.35,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,No
130,13,0,0,0,1,1,85.95,1215.65,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,No
131,25,1,1,0,0,1,58.6,1502.65,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,Yes
132,67,0,0,1,1,0,50.55,3260.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No
133,1,0,0,1,0,1,35.45,35.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Yes
134,2,0,0,1,1,0,44.35,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
135,43,0,0,0,1,1,25.7,1188.2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
136,23,0,0,0,1,1,75.0,1778.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
137,64,1,1,0,1,0,20.2,1277.75,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
138,57,0,1,1,1,1,19.6,1170.55,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
139,1,1,0,0,1,1,70.45,70.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
140,72,1,1,0,1,1,88.05,6425.65,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,No
141,8,0,0,0,1,0,71.15,563.65,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Yes
142,61,1,0,0,1,1,101.05,5971.25,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,No
143,64,0,0,1,1,1,84.3,5289.05,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,No
144,71,1,0,1,1,0,23.95,1756.2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
145,65,1,1,0,1,1,99.05,6416.7,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,No
146,3,0,0,1,1,0,19.6,61.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
147,1,0,0,1,1,1,45.65,45.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
148,30,0,1,1,1,0,64.5,1929.95,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,No
149,15,1,1,1,1,1,69.5,1071.4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,No
150,8,1,1,0,1,1,68.55,564.35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,No
151,7,0,0,1,1,0,95.0,655.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Yes
152,70,1,1,0,1,1,108.15,7930.55,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,No
153,62,1,1,1,1,0,86.1,5215.25,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,No
154,6,1,1,0,1,0,19.7,113.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,No
155,14,1,1,0,1,1,80.9,1152.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
156,22,0,0,0,1,1,84.15,1821.95,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
157,22,1,1,1,1,0,20.15,419.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
158,16,1,1,1,1,0,64.25,1024.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,No
159,10,0,0,1,1,0,25.7,251.6,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
160,13,0,1,0,1,1,56.0,764.55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,No
161,20,1,0,0,1,0,82.4,1592.35,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
162,2,0,0,0,1,1,69.7,135.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
163,53,0,0,1,1,1,73.9,3958.25,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,No
164,11,1,1,0,1,0,20.6,233.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,No
165,69,1,0,1,1,0,19.9,1363.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,No
166,4,0,0,0,1,1,70.9,273.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
167,72,1,0,1,1,1,89.05,6254.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
168,58,1,0,1,0,1,45.3,2651.2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,Yes
169,16,1,1,0,1,0,20.4,321.4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
170,43,1,0,1,1,1,84.25,3539.25,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,No
171,2,1,0,0,1,1,104.4,242.8,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,Yes
172,14,1,0,1,1,0,81.95,1181.75,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,No
173,53,1,0,0,1,1,94.85,5000.2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Yes
174,32,0,0,0,1,0,20.55,654.55,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,No
175,34,1,0,0,1,0,24.7,780.2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,No
176,15,0,0,0,1,1,74.45,1145.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
177,7,0,0,0,1,0,76.45,503.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
178,15,1,1,0,1,1,105.35,1559.25,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,No
179,61,1,0,1,1,1,20.55,1252.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,No
180,1,0,0,0,0,0,29.95,29.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
181,1,0,0,0,1,0,45.3,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No
182,8,0,0,1,1,0,84.5,662.65,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
183,33,1,1,1,1,0,74.75,2453.3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,No
184,13,0,0,0,1,1,79.25,1111.65,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Yes
185,1,1,0,0,0,1,24.8,24.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes
186,20,0,0,1,1,1,51.8,1023.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,No
187,3,0,0,1,0,0,30.4,82.15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,No
188,13,0,0,0,1,0,19.65,244.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,No
189,40,1,0,0,1,0,56.6,2379.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,No
190,43,1,1,1,1,1,71.9,3173.35,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,No
191,6,1,0,1,1,1,91.0,531.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,Yes
192,69,1,1,0,1,0,19.75,1375.4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
193,72,1,1,0,1,0,109.7,8129.3,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,No
194,59,1,1,1,1,0,19.3,1192.7,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,No
195,20,1,0,0,1,1,96.55,1901.65,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,No
196,24,1,1,1,1,1,24.1,587.4,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,No
197,59,0,0,1,1,1,111.35,6519.75,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,No
198,72,1,1,1,1,1,112.25,8041.65,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,No
